Year,Predicted AtQ_6,Observed AtQ_6,Predicted AtQ_7,Observed AtQ_7,Predicted AtQ_8,Observed AtQ_8,Predicted AtQ_9,Observed AtQ_9,Predicted AtN_6,Observed AtN_6,Predicted AtN_7,Observed AtN_7,Predicted AtN_8,Observed AtN_8,Predicted AtN_9,Observed AtN_9,Predicted MsQ_6,Observed MsQ_6,Predicted MsQ_7,Observed MsQ_7,Predicted MsQ_8,Observed MsQ_8,Predicted MsQ_9,Observed MsQ_9,Predicted MsN_6,Observed MsN_6,Predicted MsN_7,Observed MsN_7,Predicted MsN_8,Observed MsN_8,Predicted MsN_9,Observed MsN_9
1980,6266.828093504815,5860.000000000001,4719.234228116876,4130,3428.921250636087,3270,3466.0845916439157,3410,23542.386739426893,22304.000000000004,18328.472806285463,16168.000000000002,11974.471752614907,12182.879999999997,8138.471900398691,11426.4,14630.004035980564,13600,11343.189991183574,9490,8135.4198029308445,7859.999999999999,8273.84939187471,8010,63302.36182714941,65151.99999999999,47753.26557421938,41705.6,26594.28037406473,28306.560000000005,20012.780702870037,31300.08
1981,7742.949322431604,8970.000000000002,5517.010536125812,6359.999999999999,3871.5122895398836,4870,2699.1828557144745,3390,28094.72472331337,35351.2,20638.211836243318,25811.999999999996,10071.629622429218,18865.6,7412.9089561595865,11767.04,17920.417125856562,20600.000000000004,14114.87500432137,14900,9120.583724890901,11399.999999999998,6540.838486990266,8170,85438.41223169873,101947.99999999999,64588.844329279425,84155.2,32982.86453244439,62809.6,25416.939142589024,34297.600000000006
1982,8692.445842049163,8820,7035.1213981307765,6219.999999999999,4147.729598333665,4270,3804.91636267772,4029.9999999999995,32188.074883224876,36212.8,23059.88667682229,26245.599999999995,10963.75052175457,17236.4,7756.681949012869,14450.719999999998,19983.935523706954,20399.999999999996,15302.904068590564,14600,9724.59661395009,9990,9035.818207109633,9200,111436.87200068033,143000,81310.1814111417,92394.4,41683.748532326215,53563.19999999999,26812.687009660483,42532.80000000001
1983,13166.641832954607,15200,6753.756372489986,6099.999999999999,5385.207766485608,3450,3088.2467135879792,1880.0000000000002,57266.57680369347,64260,38645.37495797853,26815.2,24068.96186214528,14451.92,12310.729848156134,7059.6,30024.65989411259,34300.00000000001,18649.778917924577,14300,12537.076717192624,8249.999999999998,7421.647794658797,6450,158721.8676649194,139384.8,108587.50797112996,78335.99999999999,58500.87387154336,34090.4,25717.744699359104,20451.04
1984,8963.240335826156,9990,5293.364825534905,6009.999999999999,4228.633228586856,3740.0000000000005,3272.9992637124174,2050.0000000000005,39693.976290367995,45366.4,28585.106775746153,30917.6,20541.221324344962,17382.32,11149.496882615318,7000.4000000000005,20899.403930756158,23299.999999999996,13810.933209883986,14000,10011.527917506002,8710,7838.7092319681815,6850.000000000001,98964.264842383,123543.20000000001,69520.61123368528,92867.2,39434.67341256634,34138.4,20464.278752782582,19808.000000000004
1985,5755.770088575891,5669.999999999999,4408.9002661400455,3980.0000000000005,3270.243530231366,2860.0000000000005,3359.537435145198,3270,22139.961364637344,21314.560000000005,17543.899776816965,14186.4,12186.432896822489,8461.84,8217.5959460575,8257.52,13430.07063905228,13100,10560.528472958997,9259.999999999998,7761.587048342572,7549.999999999999,8033.821738200853,7330.000000000001,63121.800861446995,57531.200000000004,46965.16102838731,32609.04,26875.20296076793,19073.680000000004,18872.83011590836,16326.88
1986,6284.164956928168,7650.000000000001,4549.721100115517,5070,3433.532398198745,3010,2755.803929985952,2570,26063.357158929422,35273.6,19776.22091309831,22707.759999999995,11990.417347498771,11333.040000000003,8144.435184073072,7891.360000000001,14582.195563333784,17700.000000000004,11758.820737797829,11800.000000000002,8115.432942145925,7529.999999999999,6669.257121065989,6359.999999999999,80191.98526140275,112690.4,59026.13324529791,63613.99999999999,32275.88397236523,28958.24,21600.04747460915,16854.559999999998
1987,6180.151232918127,4709.999999999999,5013.861209741888,3820,3401.15362367645,2519.9999999999995,2725.210408087529,2460.0000000000005,22852.342723788388,18584.000000000004,17638.5097982398,14776.4,9903.420269357845,8680.24,7347.306244353293,7414.320000000001,14335.80032880443,10899.999999999998,11801.81970590311,9359.999999999998,8036.83135026234,5870,6599.88041833052,5689.999999999999,69576.77622488205,55102.4,52855.99865737623,34908.64,28266.610684545733,14390.160000000002,22124.033193180036,13904.960000000001
1988,3174.878713600165,2130,2972.2027573427945,1479.9999999999998,2406.281261113749,1539.9999999999998,3427.1005486915715,1529.9999999999998,10378.28481801097,4673.840000000001,9845.360890767191,2525.04,7629.110243241235,2523.6799999999994,6431.142935023225,2164.32,7503.748035399052,4989.999999999999,7294.462641665521,3600,5765.347644307696,3790,8186.051558348686,3720,28529.33530480767,13022.8,23686.833357238513,5649.4400000000005,14429.543437630584,5606.159999999999,15706.468506190506,4847.119999999999
1989,6758.419896922105,8310,5371.56325064421,8520,3578.689808676755,3560.0000000000005,3340.0061032718286,3960.0000000000005,19207.361709248486,17314.4,15313.41404306235,17901.6,8452.501930941644,5270.160000000001,6769.687242030371,5146.5599999999995,15744.479778713476,19200.000000000004,12198.47270375819,19900,8474.994742655623,8399.999999999998,7989.798425582818,9310.000000000002,60822.648370635165,60365.59999999999,47098.38634486419,48844.799999999996,25237.12160885725,15385.28,21538.452558705118,19664.160000000003
1990,10734.611577607136,13500,8259.781171957628,6890.000000000001,4724.239546606092,4310,2672.737429803688,3690,34861.23786675517,36812.88,24759.66563078607,23264.16,12378.962817958973,14335.04,8289.199819897582,11185.36,25017.660262091507,31399.999999999996,17120.724245814643,16000,11160.133731325637,10100,6480.830043705075,8560,123551.52901225757,152546.39999999997,88419.83677343147,107461.6,45987.7211449828,50702.00000000001,26560.04616632709,34340.16
1991,11183.642844915097,9240,7417.769607975816,4589.999999999999,4848.707869851073,2840.0000000000005,2873.9393777469777,2510.0000000000005,40242.95009101239,35771.84,28264.859718997497,18731.439999999995,16009.79533969974,10061.599999999999,9598.623682624368,8104.319999999999,26414.321393864207,20800,17242.912703719383,10500.000000000002,11552.427346304214,6670,6936.927369472824,6259.999999999999,137626.01417864405,126305.60000000002,95863.175252318,58027.68000000001,51342.72939158905,24382.32,25281.67926845064,16434.960000000003
1992,3628.208646366463,4920,3084.287603605426,4780,2568.128408207925,5900,2586.5272045252445,3500,12357.76703568852,14834.64,11260.364284751187,14967.28,8974.252478281758,19610.08,6979.969694984209,10322.16,8524.721212411396,11499.999999999998,7722.726447317809,11200,6133.2774773402825,13700.000000000002,6285.073198243046,8200.000000000002,45027.218462431316,45565.6,34027.216069759284,48241.12,20979.645277716627,73101.84,15672.764538891117,27005.599999999995
1993,9886.826154106675,9120.000000000002,5878.332252880864,8220,4490.098077432234,9689.999999999998,3639.2806817653545,6560,46758.723774836326,40591.200000000004,32790.119732478284,40673.6,22913.553538297274,52640.8,11934.144400152205,30940.399999999998,22937.601985412362,21400.000000000004,14948.857709982476,19300,10590.840409827038,22599.999999999996,8663.580653851246,15300,115379.12704204308,112194.40000000001,80187.81964276334,118200.80000000002,44809.07999849557,129348.8,21812.702392573432,83362.39999999998
1994,6457.5238156178,5219.999999999999,4147.003730558302,4740.000000000001,3489.3950216501985,3479.9999999999995,3435.8126266740296,2810,22886.556162409026,17736.72,18341.970054046156,18275.36,15049.104833189447,11522.08,9258.971487064167,7145.120000000001,15221.682301935838,12100,10543.298836317086,11000,8331.493311103497,8130.000000000001,8205.674899508982,6550.000000000001,52488.28753191958,42928,39023.412120242334,37795.2,23628.82799479748,20354.64,16420.259400792886,12330.4
1995,12494.570373304265,13300,8970.503660353514,7609.999999999999,5202.226842619678,4750.000000000001,3146.0726394947837,2960.0000000000005,44192.09502657199,49676.479999999996,29920.014125754962,32104.16,12878.498625451502,17482.96,8473.841310540025,6989.6,28816.475747983975,31100.000000000004,19948.779295788398,17700.000000000004,12190.367707268857,11200,7552.261667809768,6979.999999999999,148559.39942656006,119520.15999999999,106811.68521097326,73396.24,52927.9104573162,39034.72,31448.254465740763,16402.24
1996,9796.981359883255,11700,6038.203803774945,5810,4463.156249656165,4789.999999999999,3692.4832421493047,3290,36749.18779462935,47577.6,26112.952601601966,23262.399999999998,14438.539513869115,18029.68,9040.740586956663,8291.36,22845.096295822317,27799.999999999996,15900.854710907537,13800,10553.181643657546,11200,8783.193898744232,7580.000000000001,108282.27363852937,120409.59999999999,78279.66550224065,71102.4,41135.32824790415,49456.32000000001,25120.90239396792,20769.44
1997,7001.272829221528,9139.999999999998,5553.259785310353,6519.999999999999,3652.762216307229,3530.0000000000005,3400.7975366151595,2769.9999999999995,24709.502899745792,33761.520000000004,19057.548742837316,25114.880000000005,12392.877428786414,10399.6,8294.365141359014,6249.5199999999995,16390.188250458177,21300.000000000004,12092.569502791343,15200,8676.325348775117,8270,8126.7972330090215,6530.000000000001,71260.35195219617,85186.08,52774.78028430912,60285.67999999999,29442.860768673643,24918.32,20274.11832250824,15356.960000000001
1998,6777.182400999874,7330.000000000001,4941.017635462978,8150,3586.3885707911313,4759.999999999999,2902.3241847516965,2730,29851.470620347944,34567.44,22752.482284123296,41918.16,18202.89136439371,21440.4,10358.823248596684,7807.280000000001,15884.892855920869,17100,11094.45098237206,19099.999999999996,8531.827383044194,11099.999999999998,7001.189889563156,6390,70789.15255378098,81083.19999999998,50718.03440455885,95731.2,30188.104506731048,45489.84,17465.460083991475,14843.12
1999,8042.713526788046,6929.999999999999,6262.429872123731,6219.999999999999,3961.258787485174,3430,2829.440696379422,2150,36151.56414037049,35830.16,26154.013364312774,34465.44,17061.163708905937,14497.2,9965.537771479007,5502.759999999999,18720.89431137156,16100,13442.404480761565,14600,9369.457839512575,8040.000000000001,6836.14376848254,5000,106351.16648953185,104706.79999999999,74928.2827839816,88893.04,41555.1836166313,36571.68,21924.53388004883,12957.44
2000,5037.287854422446,5080,4519.119582553973,5980,3040.399553828211,3090,2705.333680589654,2220.0000000000005,18331.1219928788,21278.720000000005,14899.478314071759,26721.680000000004,9148.16890784215,10907.416000000001,7049.395615532718,5731.208,11822.693504627943,11900.000000000002,10204.040810853163,14099.999999999998,7240.159066129074,7320.000000000001,6554.792889965504,5110.000000000001,47521.82279980591,57403.91999999999,37896.74002831186,78567.6,20729.66627779438,26752.879999999997,19944.288471297656,12637.44
2001,6555.958348562075,8079.999999999999,5493.61084563262,4719.999999999999,3516.7525269961056,3369.9999999999995,3268.6344055589716,2690,24008.550032158335,35089.04,18391.22111940755,19024.96,10515.72013625217,10962.559999999998,7584.885638936878,6418.64,15157.970444459053,19200.000000000004,12122.68298044389,11000,8292.624847507735,7869.999999999999,7828.864112524357,6270,85152.67255491867,121619.20000000001,62349.18531034406,63864.95999999999,33905.33423323988,27438.88,22100.555895944053,15800.960000000001
2002,8433.43932788109,9680.000000000002,5379.563256538288,3939.9999999999995,4075.324157707788,2870.0000000000005,3128.397294646465,2700,30171.79699495897,34741.91999999999,22415.95389235193,14215.199999999999,14219.951023348525,8057.0160000000005,8962.13739304818,5683.208000000001,18891.900630476142,23700,13397.564427708707,9700,9421.246980839654,6719.999999999999,7512.345262847602,6270,94489.23018808338,102801.2,67602.03121069724,40436.72,37444.551158118775,17896.127999999997,21547.978568621496,16068.72
2003,8552.234662817938,8800.000000000002,5917.568561049846,5370,4108.45576877396,4260.000000000001,3272.0343334291033,3760,29374.238402116764,30067.680000000004,21589.742739677302,19022.719999999998,11594.325369105938,12915.6,7995.769011207044,8610.08,19865.621376525978,20499.999999999996,14519.598945230455,12500,9698.380663558117,9950,7836.532824446351,8770,85289.75642373237,73729.12,63743.23690287787,46583.02400000001,33300.56107681264,29705,24185.31325486294,20424.448
2004,8394.184930690231,9439.999999999998,6615.9680009982,7750.000000000001,4062.343057134847,3869.9999999999995,3052.9381910281845,4089.9999999999995,30481.105880397008,34348,22211.66942235265,28842.856,11611.032656456342,12758.056,8002.062752016966,11012.408000000001,19567.470802587653,22100,14597.454644637002,17999.999999999996,9609.009202498142,9040,7341.859069449818,9560,82222.68379432174,105046.48000000001,62274.26167437932,82273.12,32005.817351809186,32299.784000000003,24860.459104240057,31175.216
2005,4411.901801369844,4400.000000000001,4323.654654381142,3540,2835.4168223119036,2270.0000000000005,2904.070006824539,2939.9999999999995,17835.623361764574,20465.207999999995,14783.31062852617,15242.207999999999,10458.218759716632,5963.96,7562.715065607612,8525.072,10356.774076558635,10300,9081.471116617271,8310,6759.335010597051,5320.000000000001,7005.1417538232845,6699.999999999999,44643.46131701902,51898.23999999999,35040.442362980226,36541.12,20171.389518960958,11756.576,17964.703419992606,16424.320000000003
2006,4285.189336202063,3650,3886.7628762992467,2769.9999999999995,2793.2600745909363,2140,2601.1040758141958,2270.0000000000005,19677.091260213183,17509.440000000002,16116.368966259,11568.552000000001,12327.682043849914,6941.080000000001,8270.152407449055,6518.4800000000005,10062.788022908351,8520,8741.770839632549,6519.999999999999,6662.352776505395,5030,6318.187406423824,5250.000000000001,50569.7698570965,45046.32,38259.11694192967,24618.912,22678.37045195702,14307.271999999997,17130.48321821338,14366.679999999998
2007,7123.148732804769,4879.999999999999,5863.287589317556,5830.000000000001,3688.515118288735,3620,3205.2401326460727,3530.0000000000005,27414.3383131016,17791.792,20574.465648515732,18662.296000000006,12205.537627182255,9269.728000000001,8224.712428017916,7238.328,16629.254469191503,11399.999999999998,12722.651539240296,13600,8742.608633857735,8500,7685.832113146241,8239.999999999998,96467.0215170076,58336.19999999999,69219.53635844584,47943.224,37933.160812771035,24455.664,22191.916799728235,26492.676799999997
2008,11507.400777362935,9759.999999999998,7448.657190423565,8550,4937.435886671584,5009.999999999999,3460.1853457991324,5560,42257.37128499034,34315.36,29512.521490090796,27352.720000000005,17005.053043513173,15001.656000000003,9946.075064371378,13849.44,26572.429023177814,22900.000000000004,17298.39227342238,19799.999999999996,11596.11818461746,11900.000000000002,8260.565225731187,13000,134343.16575766195,123993.11999999998,93921.78523482343,116997.192,50199.99587126251,51037.73359999999,25278.634606261636,32924
2009,9380.273219621438,11200,5754.036707981016,5669.999999999999,4346.795244474566,4800.000000000001,3232.323402761264,3910,33557.27967778585,32793.68,24497.19583421166,18261.272,15529.360237007413,13243.544,9429.314570190352,9351.263999999997,21872.96647949564,25800,14647.314867060972,13200,10286.143072622894,11300,7746.94821238451,9310.000000000002,93845.24884839646,99626.64,67573.23991531649,59025.12,37032.555048989765,32442.552,22080.54035407629,25662.432
2010,9359.855660314923,8380,6208.705595858318,7240.000000000001,4339.469959772393,5639.999999999999,3324.694034362016,3939.9999999999995,36201.87169270223,29711.312,25763.613047249823,22794.584,14118.790828608431,15260.96,8925.673343179471,9224.423999999999,21728.578839585767,19500,15504.972415431594,16900,10234.259872496335,13100,7955.280075853389,9400,94531.59890417095,85273.20800000003,70005.20640971269,79933.20000000001,36270.513412759865,52510.670399999995,25183.751637739286,26967.0752
2011,14625.32085731442,12700.000000000002,8231.3703457763,7389.999999999999,5770.267067810271,4610.000000000001,3473.620632454937,3670,55333.24320534762,48184,37284.11371421608,32660.799999999996,21790.335966199662,18430.288,11564.655498811135,12412.152,33637.14379726028,29400,20296.762112138145,17300,13498.371373193393,11300,8290.818428863528,8640,130702.18385886044,126512.71999999999,92984.83666985414,88569.20000000001,48326.37597306713,48527.44,26979.472483530182,28919.520000000004
2012,4255.900535012589,2789.9999999999995,4230.102999960364,2130,2783.039951166243,1800.0000000000002,2303.466536651487,1870,15398.919813288827,10607.96,13139.213083708775,8025.832,9069.967689821648,6259.264,7018.218282651971,5664.263999999999,9983.134699643007,6480.000000000001,8905.235775810334,5009.999999999999,6632.859849863073,4270,5640.7754348696535,4470.000000000001,38066.29520227777,22102.88,30846.69489482213,14270.992000000002,17655.930266049567,10946.72,17884.042622094094,10418.16
2013,10870.842792356056,9810,7914.885066695994,7710,4762.079941916062,4550.000000000001,3485.685090187326,2730,44454.40591660124,40901.840000000004,30743.588645439948,33015.2,17231.005001260084,16924.768,10024.370438608383,7293.448,25395.275757628373,23000.000000000004,17154.294287404617,17800,11266.580377684108,10699.999999999998,8317.982014293275,6519.999999999999,133928.18306898078,120484.8,94353.26122774021,85008.87999999999,49718.4211495429,39466.479999999996,26208.67217075583,17207.759999999995
2014,6012.264543647739,7089.999999999999,4552.419709618238,6009.999999999999,3350.1426894075994,3550.0000000000005,3820.70644522772,3939.9999999999995,23275.104668608554,29575.520000000004,18192.52417178698,25791.439999999995,12110.812621784136,12323.680000000002,8189.402956047778,11631.784000000001,14058.155257524808,16500.000000000004,11029.768579888618,14200.000000000002,7957.46200712254,8340,9071.280294115648,9139.999999999998,61879.9117177682,75216.64,46687.28976937038,71543.28,26165.920688503564,31227.519999999997,19685.31987610775,32469.760000000002
2015,13207.330994152839,10500.000000000002,9103.75242298769,12700.000000000002,5392.7653128773145,8150,3179.9528119546235,2820,42856.01034557118,30496.879999999997,28995.260713697455,33812.399999999994,11671.99208988903,20916,8025.00917747889,5934.360000000001,29842.05275036379,22799.999999999996,20601.250546692467,29000.000000000004,12465.292180187445,18400,7628.755046973724,7450,138027.89987659056,116386.56,101115.39954602337,130075.60000000002,49036.116264680284,71268.24,32390.170446085936,24405.6
2016,7966.329148805531,7280,6163.581346240983,4789.999999999999,3938.702609417954,5070,2681.826984770161,4279.999999999999,25352.325397372697,21761.360000000004,19240.711547424216,17377.440000000002,11079.841114865992,18219.872000000007,7800.9300719710445,13529.136,17925.698805552413,16200.000000000002,13239.638886529829,12300,9132.156223454322,12399.999999999998,6501.457670936989,11099.999999999998,87152.25124953341,82778.23999999999,63663.63577743431,63569.600000000006,34571.11357444728,62689.2,22264.609088542875,51302.16
